Код,Наименование товаров,Розничная,Корпоративная,от  5000 рублей,от 15000 рублей,Категория
00003628,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольж., 2pin, 30см, 2600 об*мин Gembird FANPS (шт.)",200,166,120,115,Вентиляторы > Вентиляторы 12 Вольт
00007085,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 3pin, 30см, 5bites FB8025S-12H3 3000RPM (шт.)",250,198,143,138,Вентиляторы > Вентиляторы 12 Вольт
00003718,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольж., 3pin, 30см, Gembird FANCASE 0.18А 2600 об*мин (шт.)",200,166,120,115,Вентиляторы > Вентиляторы 12 Вольт
00007604,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 2pin, 15см, 2000 об*мин 5Bites F8025S-12L2 (шт.)",250,198,138,132,Вентиляторы > Вентиляторы 12 Вольт
00006082,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 2pin, 72-5080, Rexant 8025MS 12VDC (шт.)",150,130,94,90,Вентиляторы > Вентиляторы 12 Вольт
00006520,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 2pin, 40см, 2200 об*мин Exegate EP08025S2P 23dBA (шт.)",200,148,107,103,Вентиляторы > Вентиляторы 12 Вольт
00005839,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 3pin, 30см, 1800 об*мин Exegate EX08025S3P (шт.)",250,207,144,138,Вентиляторы > Вентиляторы 12 Вольт
00003381,"Вентилятор 12 вольт  80 x 80 x 25 подшипник скольжения, 4pin-molex, 30см, 2600 об*мин Gembird FANCASE-4 (шт.)",300,261,181,174,Вентиляторы > Вентиляторы 12 Вольт
00008153,"Вентилятор 12 вольт  92 x 92 x 25 подшипник гидродинамичесикй, 3pin, 40см, 2000 об*мин ExeGate EX09225S3P Mirage 92x25H (шт.)",160,146,105,101,Вентиляторы > Вентиляторы 12 Вольт
00002426,"Вентилятор 12 вольт  92 x 92 x 25 подшипник гидродинамический, 3pin, 40см 2000 об*мин Exegate EX09225H3P Mirage 92x25H (шт.)",280,243,169,162,Вентиляторы > Вентиляторы 12 Вольт
00007045,"Вентилятор 12 вольт  92 x 92 x 25 подшипник гидродинамический, 3pin, 30см 2500 об*мин Gembird D9225HM-3 0.22А (шт.)",350,288,208,200,Вентиляторы > Вентиляторы 12 Вольт
00001573,"Вентилятор 12 вольт  92 x 92 x 25 подшипник гидродинамический, 4pin, 40см 700-2000 об*мин Exegate E09225H4P-PWM 24dBA (шт.)",480,423,294,282,Вентиляторы > Вентиляторы 12 Вольт
00000651,"Вентилятор 12 вольт  92 x 92 x 25 подшипник качения, 3pin, 2500 об*мин Gembird FANCASE2/BALL (шт.)",420,378,263,252,Вентиляторы > Вентиляторы 12 Вольт
00007088,"Вентилятор 12 вольт  92 x 92 x 25 подшипник скольжения, 3pin, 15см, 5bites FB9225S-12H3 2500RPM (шт.)",220,198,143,138,Вентиляторы > Вентиляторы 12 Вольт
00007087,"Вентилятор 12 вольт  92 x 92 x 25 подшипник скольжения, 3pin, 15см, 5bites FB9225S-12L3 1800RPM (шт.)",220,198,143,138,Вентиляторы > Вентиляторы 12 Вольт
00001923,"Вентилятор 12 вольт  92 x 92 x 25 подшипник скольжения, 3pin, 40см, 1800 об*мин ExeGate EX09225S3P Mirage 92x25S (шт.)",160,144,104,100,Вентиляторы > Вентиляторы 12 Вольт
00006730,"Вентилятор 12 вольт  92 x 92 x 25 подшипник скольжения, 3pin, 30см 2500 об*мин Gembird FANCASE2 (шт.)",280,252,175,168,Вентиляторы > Вентиляторы 12 Вольт
00007605,"Вентилятор 12 вольт 120 x 120 x 15 подшипник скольжения, 3pin, 15см, 5Bites F12015S-12L3 1200RPM (шт.)",350,324,234,225,Вентиляторы > Вентиляторы 12 Вольт
00000515,"Вентилятор 12 вольт 120 x 120 x 25 подшипник гидродин., 3pin, Exegate EX12025H3P 40см 1200 об*мин Mirage120x25H (шт.)",250,225,163,156,Вентиляторы > Вентиляторы 12 Вольт
00002107,"Вентилятор 12 вольт 120 x 120 x 25 подшипник гидродинамический, 4pin, 30см, 2000 об*мин Gembird D12025HM-4 0.20А (шт.)",480,432,312,300,Вентиляторы > Вентиляторы 12 Вольт
00002111,"Вентилятор 12 вольт 120 x 120 x 25 подшипник гидродинамический, 3pin, 30см, 2000 об*мин Gembird D12025HM-3 0.28А (шт.)",575,516,352,338,Вентиляторы > Вентиляторы 12 Вольт
00005067,"Вентилятор 12 вольт 120 x 120 x 25 подшипник качения, 3pin, 30см, 5bites F12025B-12L3 15см 1200 об*мин (шт.)",445,414,345,331,Вентиляторы > Вентиляторы 12 Вольт
00005476,"Вентилятор 12 вольт 120 x 120 x 25 подшипник качения, 3pin, 30см 2000 об*мин, Gembird FANCASE3/BALL 0.27А (шт.)",520,468,325,312,Вентиляторы > Вентиляторы 12 Вольт
00007090,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольжения, 2pin, 15см, 5bites FB12025S-12L2 1200RPM (шт.)",350,324,234,225,Вентиляторы > Вентиляторы 12 Вольт
00007046,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольж., 2pin, 40см, 1600 об*мин Exegate EP12025S2P 26dBA (шт.)",300,243,176,169,Вентиляторы > Вентиляторы 12 Вольт
00007418,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольжения, 3pin, 30см, 5bites FB12025S-12L3 1200RPM (шт.)",360,324,234,225,Вентиляторы > Вентиляторы 12 Вольт
00007048,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольж., 3pin, 40см 1800 об*мин Exegate EP12025S3P 26dBA (шт.)",250,198,143,138,Вентиляторы > Вентиляторы 12 Вольт
00003908,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольж., 3pin, 30см, Gembird FANCASE3 0.27А 2000 об*мин (шт.)",350,306,221,213,Вентиляторы > Вентиляторы 12 Вольт
00000089,"Вентилятор 12 вольт 120 x 120 x 25 подшипник скольжения, Molex, 40см 1200 об*мин Exegate EX12025SM 19dBA (шт.)",350,288,208,200,Вентиляторы > Вентиляторы 12 Вольт
00001186,"Вентилятор 12 вольт 120 x 120 x 38 подшипник скольжения, 2pin, 72-5121, Rexant 12038MS 12 VDC (шт.)",485,436,315,303,Вентиляторы > Вентиляторы 12 Вольт
00003497,"Вентилятор 12 вольт 120 x 120 x 38 подшипник скольжения, 3pin, 30см 2500 об*мин Gembird D12038SM-3 12V 0.38А (шт.)",700,621,449,431,Вентиляторы > Вентиляторы 12 Вольт
00001638,"Вентилятор 12 вольт 120 x 120 x 38 подшипник скольжения, 4pin, 40см 2500 об*мин Gembird D12038SM-4 12V 0.38А (шт.)",700,653,544,522,Вентиляторы > Вентиляторы 12 Вольт
00006981,"Вентилятор 12 вольт 140 x 140 x 25 подшипник гидродинамический, 3pin, 30см 1500 об*мин Gembird D14025HM-3 (шт.)",470,423,294,282,Вентиляторы > Вентиляторы 12 Вольт
00006879,"Вентилятор 12 вольт 140 x 140 x 25 подшипник качения, 3pin, 40см 1500 об*мин Gembird D14025BM-3 0.20A (шт.)",620,558,388,372,Вентиляторы > Вентиляторы 12 Вольт
00007091,"Вентилятор 12 вольт 140 x 140 x 25 подшипник скольжения, 3pin, 15см, 5bites FB14025S-12L3 1200RPM (шт.)",400,342,247,238,Вентиляторы > Вентиляторы 12 Вольт
00005029,"Вентилятор 12 вольт 140 x 140 x 25 подшипник скольжения, 3pin, 40см 900 об*мин Exegate EX14025S3P (шт.)",350,315,228,219,Вентиляторы > Вентиляторы 12 Вольт
00006980,"Вентилятор 12 вольт 140 x 140 x 25 подшипник скольж., Molex, 15см, 900 об*мин 5Bites FB14025S-12L4MX (шт.)",380,333,241,231,Вентиляторы > Вентиляторы 12 Вольт
00006461,"Вентилятор 12 вольт 140 x 140 x 25 подшипник скольжения, 3pin, 40см, 1500 об*мин Gembird D14025SM-3 (шт.)",350,306,221,213,Вентиляторы > Вентиляторы 12 Вольт
00001260,"Вентилятор 12 вольт 140 x 140 x 25 подшипник скольжения, 3pin, 40см 1200 об*мин Exegate EP14025S3P Mirage140x25S (шт.)",550,477,331,318,Вентиляторы > Вентиляторы 12 Вольт
00005267,72-6080 Вентилятор 220 вольт 80 x 80 x 25 RX 8025HS 220VAC (шт.),750,681,568,545,Вентиляторы > Вентиляторы 220 Вольт
00004522,72-6120 Вентилятор 220 вольт 120 x 120 x 25 RQA 12025HSL 220VAC (шт.),825,772,643,617,Вентиляторы > Вентиляторы 220 Вольт
00004523,72-6121 Вентилятор 220 вольт 120 x 120 x 38 RQA 12038HST 220VA без проводов (шт.),1000,905,784,754,Вентиляторы > Вентиляторы 220 Вольт
00004976,72-6122 Вентилятор 220 вольт 120 x 120 x 38 RQA 12038HSL 220VA с проводами (шт.),1000,958,830,798,Вентиляторы > Вентиляторы 220 Вольт
00000882,72-4050 Вентилятор 24 вольт 50 x 50 x 10 RX 5010MS 24 VDC (шт.),150,136,113,109,Вентиляторы > Вентиляторы 24 Вольт
00003282,72-4051 Вентилятор 24 вольт 50 x 50 x 15 RX 5015MS 24 VDC (шт.),150,129,107,103,Вентиляторы > Вентиляторы 24 Вольт
00005268,72-4080 Вентилятор 24 вольт 80 x 80 x 25 RX 8025MS 24VDC (шт.),280,236,170,164,Вентиляторы > Вентиляторы 24 Вольт
00004526,72-4090 Вентилятор 24 вольт 92 x 92 x 25 RQD 9225MS 24VDC (шт.),300,248,179,172,Вентиляторы > Вентиляторы 24 Вольт
00005173,Вентилятор 24 вольт 40 х 40 х 10 RQD 4010MS 24VDC 72-4040-9 (шт.),145,133,115,110,Вентиляторы > Вентиляторы 24 Вольт
00005265,Вентилятор 24 вольт 40 х 40 х 20 RX 4020MS 24VDC 72-4041 (шт.),135,125,107,103,Вентиляторы > Вентиляторы 24 Вольт
00004623,Вентилятор 24 вольт осевой RX 6015MS 24VDC 72-4060 (шт.),150,136,117,112,Вентиляторы > Вентиляторы 24 Вольт
00005506,"Вентилятор 5 вольт 40 x 40 x 10 подшипник скольжения, 2pin, 20см (шт.)",200,167,125,120,Вентиляторы > Вентиляторы 5 Вольт
00005077,Вентилятор 12 вольт для видеокарты 38мм 2pin (шт.),135,127,90,87,Вентиляторы > Вентиляторы для видеокарт
00002534,Вентилятор 12 вольт для видеокарты 55мм 2pin (шт.),120,104,78,75,Вентиляторы > Вентиляторы для видеокарт
00003657,Вентилятор 12 вольт для видеокарты 55мм 2pin с радиатором охлаждения (шт.),310,294,209,201,Вентиляторы > Вентиляторы для видеокарт
00004805,F1173081 Вентилятор 5 вольт для ASUS N56 4pin (шт.),580,551,406,391,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00004844,F2054761 Вентилятор 5 вольт для ASUS Eee 1015PE/1015PEM 4pin (шт.),355,337,239,231,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00004807,F3066081 Вентилятор 5 вольт для ASUS K45/A85/A85C/A85V 3pin (шт.),545,518,368,354,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00004808,S0C48A11 Вентилятор 5 вольт для ASUS K53s/A43 4pin (шт.),440,414,294,283,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00004843,VC345001 Вентилятор 5 вольт для ASUS N55/N55S/N55SL 4pin (шт.),540,509,402,389,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00002561,VCY74081 Вентилятор 5 вольт для ASUS X455LD/X455CC/A455/A455L/K455/X555/K555/A555L 4pin (шт.),605,574,408,392,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков ASUS
00005340,F0114011 Вентилятор 5 вольт для HP CQ61/G61/CQ70/CQ71/G71 (шт.),385,365,259,250,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00002364,F0230001 Вентилятор 5 вольт для HP 500/510/520/C700 (шт.),290,274,195,187,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00005125,F0617011 Вентилятор 5 вольт для HP Pavilion DV6-6000/DV6-6050/DV6-6090/DV6-6100 (шт.),400,377,268,258,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00005178,F0621011 Вентилятор 5 вольт для HP Pavilion DV7-4000 (шт.),395,372,264,254,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00001081,F0628011 Вентилятор 5 вольт для HP Compaq Presario CQ50/CQ60/CQ70/G50/G60/G70 (шт.),580,547,388,374,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00000354,F0683011 Вентилятор 5 вольт для HP G72 Compaq CQ72 F0683011 (шт.),500,473,336,324,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00001346,F0714011 Вентилятор 5 вольт для HP Mini 110-1000 (шт.),445,423,300,289,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00002907,F1171081 Вентилятор 5 вольт для HP Pavilion DV6-7000/DV7-7000 (шт.),425,403,286,276,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00005122,VC34101 Вентилятор 5 вольт для HP Envy 15 (шт.),515,487,346,333,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00005130,VCY85081 Вентилятор 5 вольт для HP ProBook 650 G1/655 G1/640 G1/650 G1 (шт.),640,603,429,413,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00003269,Вентилятор 5 вольт для HP Probook 4520S/4525S/4720S F0620011 (шт.),320,299,213,205,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00001120,Вентилятор 5 вольт для HP Probook 4530 S F0624011 (шт.),395,372,264,254,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков HP
00005131,VC878081 Вентилятор 5 вольт для Lenovo Z400/Z400a/Z500/Z500a/P500 (шт.),690,651,462,445,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков Lenovo
00005358,F1174081 Вентилятор 5 вольт для Toshiba C850/C870/L850 (шт.),400,379,269,259,Вентиляторы > Вентиляторы для ноутбуков > Вентиляторы для ноутбуков Toshiba
00004718,Решетка для вентилятора 120мм (шт.),90,77,54,52,Вентиляторы > Решетки для вентиляторов
00005271,Решетка для вентилятора 40мм (шт.),65,58,41,39,Вентиляторы > Решетки для вентиляторов
00005272,Решетка для вентилятора 60мм (шт.),80,68,47,45,Вентиляторы > Решетки для вентиляторов
00004719,Решетка для вентилятора 80мм (шт.),85,78,51,49,Вентиляторы > Решетки для вентиляторов
00004960,09-3901 Силиконовое масло ПМС-100 15мл REXANT (шт.),145,135,117,112,Вентиляторы > Смазочные материалы
00005512,09-3905 Силиконовое масло ПМС-400 15мл REXANT (шт.),165,154,134,128,Вентиляторы > Смазочные материалы
00005511,09-3930 Силиконовое масло ПМС-200 15 мл Rexant (шт.),185,171,143,137,Вентиляторы > Смазочные материалы
00005776,09-3948 Силиконовая смазка спрей 400 мл (шт.),450,413,358,344,Вентиляторы > Смазочные материалы
00005868,09-3950 Смазка графитовая 20 мл REXANT (шт.),80,71,62,59,Вентиляторы > Смазочные материалы
00007791,"09-3955 Смазка силиконовая REXANT, модель 221, до +350 градусов, 2 мл, шприц (шт.)",135,125,109,104,Вентиляторы > Смазочные материалы
00007268,"09-3957 Смазка антифрикционная REXANT, ЦИАТИМ-201, 20 мл, банка (шт.)",100,91,75,72,Вентиляторы > Смазочные материалы
00007267,"09-3970 Вазелин технический REXANT, ВТВ-1, 20 мл ,банка (шт.)",90,83,69,67,Вентиляторы > Смазочные материалы
00006414,"Масло Steel CGC SPO-1 синтетическое для компьютерных вентиляторов, шприц 2 грамма (шт.)",280,248,173,166,Вентиляторы > Смазочные материалы
00005698,"Масло Steel CGC SPO-2 силиконовое для компьютерных вентиляторов, шприц 2 грамма (шт.)",255,225,156,150,Вентиляторы > Смазочные материалы
00001201,"Смазка Steel CGC SPO-3 композитная восстанавливающая для компьютерных вентиляторов, шприц 2 грамма (шт.)",555,497,345,331,Вентиляторы > Смазочные материалы
00004909,"09-3750 Паста теплопроводная КПТ-8 REXANT, шприц, 5 мл (шт.)",160,144,104,100,Вентиляторы > Термопаста
00004908,"09-3751 Паста теплопроводная КПТ-8 REXANT, шприц, 2 мл (шт.)",125,111,80,77,Вентиляторы > Термопаста
00007730,Теплопроводящая паста (шт.),20,14,11,10,Вентиляторы > Термопаста
00001136,"Термопаста Gembird FreeOn Spesial GF-11-3 для радиаторов, шприц, шпатель 3гр (шт.)",300,270,195,188,Вентиляторы > Термопаста
00002608,"Термопаста Gembird FreeOn Ultra GF-21-3 для радиаторов, шприц, шпатель 3гр (шт.)",410,383,330,317,Вентиляторы > Термопаста
00001909,"Термопаста Gembird FreeZzz GF-01-3 для радиаторов, шприц, шпатель 3гр (шт.)",150,139,100,96,Вентиляторы > Термопаста
00002099,"Термопаста Steel CGC STP-1 специальная для компьютерных процессоров, шприц 3 грамма (шт.)",200,189,137,131,Вентиляторы > Термопаста
00003526,"Термопаста Steel CGC STP-4 Game-X Series карбидкремниевая для компьютерных процессоров, шприц 3 грамма (шт.)",750,705,611,588,Вентиляторы > Термопаста
00002585,"Термопаста Steel STP-1 Frost Zinc One-Off специальная цинковая для компьютерных процессоров, шприц 1,5 грамма (шт.)",200,189,137,131,Вентиляторы > Термопаста
00005448,"Термопаста Steel STP-4 Frost Graphene Game-X One-Off карбидкремниевая для компьютерных процессоров, шприц 1,5 грамма (шт.)",720,675,585,563,Вентиляторы > Термопаста
00000529,Термопаста АЛСИЛ АЛС-3 для процессоров  3 грамма (шт.),160,147,127,123,Вентиляторы > Термопаста
00001431,"Термопаста кремнийорганическая КПТ-19 Steel невысыхающая, для процессоров и радиаторов - 3 грамма (шт.)",125,112,81,78,Вентиляторы > Термопаста
00002242,Термопаста кремнийорганическая КПТ-8 Steel для процессоров и радиаторов - 3 грамма (шт.),120,104,75,73,Вентиляторы > Термопаста
00006721,Термопаста кремнийорганическая КПТ-8 Steel для процессоров и радиаторов - 5 грамм (шт.),150,126,91,88,Вентиляторы > Термопаста
